iter	Passed	Remaining
931	4383	37947
932	4387	37938
933	4393	37939
934	4397	37931
935	4401	37921
936	4407	37923
937	4411	37916
938	4416	37910
939	4420	37905
940	4426	37907
941	4430	37902
942	4435	37894
943	4440	37896
944	4444	37886
945	4448	37876
946	4453	37873
947	4458	37865
948	4462	37857
949	4466	37847
950	4471	37845
951	4475	37839
952	4480	37829
953	4484	37819
954	4489	37816
955	4493	37810
956	4498	37808
957	4504	37812
958	4508	37804
959	4512	37794
960	4517	37789
961	4522	37787
962	4526	37779
963	4531	37771
964	4536	37770
965	4540	37763
966	4544	37755
967	4550	37754
968	4555	37752
969	4559	37746
970	4563	37736
971	4568	37735
972	4573	37728
973	4577	37718
974	4582	37717
975	4587	37713
976	4591	37703
977	4595	37695
978	4601	37700
979	4606	37696
980	4611	37694
981	4616	37694
982	4620	37683
983	4624	37674
984	4628	37664
985	4634	37666
986	4638	37658
987	4642	37648
988	4647	37645
989	4651	37636
990	4655	37627
991	4659	37617
992	4665	37616
993	4669	37606
994	4673	37597
995	4677	37588
996	4682	37588
997	4686	37579
998	4690	37570
999	4696	37569
1000	4700	37562
1001	4704	37553
1002	4708	37543
1003	4714	37543
1004	4718	37534
1005	4722	37527
1006	4727	37523
1007	4731	37516
1008	4736	37508
1009	4741	37510
1010	4746	37510
1011	4751	37506
1012	4755	37497
1013	4761	37496
1014	4765	37487
1015	4769	37479
1016	4773	37470
1017	4779	37473
1018	4783	37465
1019	4787	37457
1020	4792	37455
1021	4797	37448
1022	4801	37439
1023	4805	37429
1024	4811	37432
1025	4815	37423
1026	4819	37414
1027	4824	37412
1028	4828	37403
1029	4832	37394
1030	4836	37385
1031	4842	37386
1032	4846	37377
1033	4850	37368
1034	4854	37359
1035	4859	37355
1036	4863	37346
1037	4868	37340
1038	4873	37340
1039	4877	37331
1040	4881	37322
1041	4885	37313
1042	4891	37316
1043	4895	37308
1044	4899	37299
1045	4906	37307
1046	4910	37302
1047	4914	37293
1048	4920	37298
1049	4926	37299
1050	4931	37294
1051	4935	37284
1052	4947	37341
1053	4953	37342
1054	4957	37333
1055	4961	37326
1056	4965	37317
1057	4971	37317
1058	4975	37310
1059	4979	37301
1060	4984	37298
1061	4989	37292
1062	4993	37287
1063	4998	37283
1064	5004	37284
1065	5008	37279
1066	5012	37270
1067	5018	37270
1068	5022	37261
1069	5026	37253
1070	5030	37244
1071	5035	37242
1072	5039	37233
1073	5044	37224
1074	5048	37220
1075	5053	37214
1076	5057	37205
1077	5061	37196
1078	5066	37195
1079	5071	37188
1080	5075	37179
1081	5079	37170
1082	5085	37174
1083	5089	37166
1084	5093	37156
1085	5099	37162
1086	5104	37155
1087	5108	37149
1088	5114	37152
1089	5118	37147
1090	5123	37138
1091	5127	37129
1092	5132	37127
1093	5136	37118
1094	5140	37109
1095	5144	37101
1096	5150	37102
1097	5154	37094
1098	5158	37085
1099	5163	37084
1100	5167	37075
1101	5171	37066
1102	5175	37057
1103	5181	37056
1104	5185	37049
1105	5189	37040
1106	5194	37038
1107	5198	37031
1108	5203	37024
1109	5207	37016
1110	5213	37019
1111	5217	37011
1112	5221	37002
1113	5226	36997
1114	5230	36988
1115	5234	36981
1116	5238	36972
1117	5244	36971
1118	5248	36962
1119	5252	36955
1120	5256	36948
1121	5262	36950
1122	5267	36946
1123	5272	36942
1124	5277	36944
1125	5282	36941
1126	5287	36935
1127	5293	36940
1128	5297	36933
1129	5301	36924
1130	5307	36924
1131	5311	36920
1132	5316	36913
1133	5320	36908
1134	5325	36905
1135	5329	36896
1136	5334	36887
1137	5339	36887
1138	5343	36879
1139	5347	36870
1140	5351	36860
1141	5356	36860
1142	5361	36852
1143	5365	36843
1144	5369	36835
1145	5374	36833
1146	5378	36825
1147	5382	36816
1148	5388	36818
1149	5393	36813
1150	5397	36810
1151	5403	36811
1152	5407	36803
1153	5411	36794
1154	5416	36789
1155	5421	36789
1156	5426	36782
1157	5430	36774
1158	5434	36765
1159	5439	36763
1160	5444	36762
1161	5449	36757
1162	5454	36759
1163	5459	36753
1164	5463	36746
1165	5469	36747
1166	5474	36745
1167	5478	36739
1168	5484	36739
1169	5488	36732
1170	5493	36725
1171	5497	36716
1172	5502	36715
1173	5506	36707
1174	5510	36698
1175	5515	36693
1176	5520	36693
1177	5525	36686
1178	5529	36677
1179	5534	36676
1180	5538	36668
1181	5542	36659
1182	5546	36651
1183	5551	36649
1184	5555	36640
1185	5559	36632
1186	5564	36628
1187	5569	36621
1188	5573	36613
1189	5577	36605
1190	5583	36609
1191	5587	36600
1192	5591	36591
1193	5596	36588
1194	5601	36585
1195	5606	36581
1196	5610	36576
1197	5616	36578
1198	5620	36569
1199	5624	36560
1200	5630	36559
1201	5634	36553
1202	5638	36545
1203	5642	36537
1204	5648	36538
1205	5653	36534
1206	5657	36527
1207	5663	36530
1208	5667	36523
1209	5671	36515
1210	5675	36507
1211	5681	36508
1212	5685	36499
1213	5689	36490
1214	5695	36490
1215	5699	36484
1216	5703	36476
1217	5708	36471
