iter	Passed	Remaining
901	3275	25778
902	3279	25774
903	3282	25768
904	3286	25763
905	3290	25767
906	3294	25762
907	3297	25757
908	3301	25751
909	3305	25754
910	3309	25749
911	3312	25745
912	3316	25741
913	3320	25742
914	3324	25742
915	3328	25740
916	3331	25735
917	3335	25734
918	3340	25742
919	3344	25736
920	3347	25731
921	3351	25726
922	3355	25729
923	3359	25724
924	3362	25720
925	3366	25715
926	3370	25718
927	3374	25713
928	3377	25707
929	3381	25703
930	3384	25697
931	3389	25702
932	3392	25697
933	3396	25694
934	3399	25688
935	3404	25690
936	3407	25685
937	3410	25680
938	3414	25674
939	3418	25672
940	3422	25676
941	3426	25671
942	3429	25667
943	3433	25666
944	3438	25673
945	3442	25669
946	3445	25663
947	3449	25659
948	3454	25665
